Manufacturer,Type,Cylinders,Model_Year,Model_Price,Sold_Year,Sale_Price,KM_Driven,KPL,Power,Class,Location,Accident_History,Owner_History,Color,Seller_Type,Service_History
Huendae,sedan,4,2005,"54,911 SAR",2009,"37,325 SAR",197508,19000.0mpl,2WD,standard,Riyadh,3,-2,Black,individual,1
Shevy,crossover,6,2002,,2007,"36,716 SAR",248356,3.88,2WD,standard,Dammam,6,1,Gray,company,0
Masda,suv,4,2007,"85,694 SAR",2008,"68,383 SAR",37293,12380.0mpl,2WD,standard,Makkah,3,3,Blue,individual,0
Fourd,sedan,4,2002,"72,441 SAR",2005,"38,834 SAR",22805,6.64,2WD,STANDARD,Madinah,4,4,Brown,company,0
Nesshan,suv,4,1999,"87,767 SAR",2004,"45,069 SAR",201985,16.45,4WD,standard,Dhahran,7,-2,Red,individual,0
Nesshan,suv,4,2000,,2004,"45,753 SAR",35341,15.83,2WD,standard,Jeddah,8,2,Silver,individual,0
Huendae,suv,6,2006,,2011,"55,046 SAR",47820,12.43,4WD,standard,Dhahran,3,-3,Red,company,0
Toyoda,sedan,4,2002,"86,930 SAR",2006,"58,392 SAR",76564,21120.0mpl,2WD,premium,Dammam,7,2,Gray Color,company,0
Shevy,sedan,4,2003,,2011,"22,111 SAR",147035,5.1,2WD,standard,Riyadh,1,1,Silver,individual,1
Honta,suv,4,2005,"82,367 SAR",2011,"38,918 SAR",117201,11.05,2WD,STANDARD,Dhahran,7,3,White Color,individual,0
Toyoda,suv,6,1998,"120,465 SAR",2004,"62,340 SAR",143758,11.19,2WD,premium,Jeddah,7,3,Silver,company,0
Honta,sedan,6,2005,"54,911 SAR",2008,"38,053 SAR",59175,12.51,2WD,standard,Makkah,2,1,White,individual,0
Wolksvagon,sedan,4,2004,"77,522 SAR",2006,"68,008 SAR",89342,17.21,4WD,STANDARD,Riyadh,2,-3,Gray Color,individual,0
Shevy,crossover,8,2004,"90,442 SAR",2007,"51,036 SAR",19059,2.26,2WD,STANDARD,Makkah,9,-2,White,individual,0
Geep,suv,4,2003,"110,836 SAR",2011,"28,429 SAR",187974,4.61,2WD,STANDARD,Dammam,4,3,Silver Color,individual,0
Toyoda,sedan,8,1999,"81,916 SAR",2006,"42,391 SAR",153026,8930.0mpl,2WD,premium,Dhahran,4,2,Gray Color,company,0
Honta,crossover,4,2000,"59,681 SAR",2000,"44,667 SAR",1084,15710.0mpl,2WD,STANDARD,Dammam,9,-2,White Color,individual,0
Fourd,crossover,4,2003,,2010,"45,373 SAR",230170,4170.0mpl,4WD,standard,Makkah,6,-3,White,individual,1
Fourd,sedan,4,2007,,2010,"47,389 SAR",62221,7.56,2WD,standard,Madinah,12,3,Black,individual,1
