Manufacturer,Type,Cylinders,Model_Year,Model_Price,Sold_Year,Sale_Price,KM_Driven,KPL,Power,Class,Location,Accident_History,Owner_History,Color,Seller_Type,Service_History
Shevy,sedan,8,2008,"97,897 SAR",2012,"49,384 SAR",37927,3.26,4WD,standard,Dhahran,9,2,White,individual,0
Shevy,crossover,4,2003,"88,668 SAR",2007,"46,965 SAR",71984,4.25,2WD,standard,Madinah,5,2,White,company,1
Wolksvagon,crossover,4,2004,"108,530 SAR",2006,"77,899 SAR",19352,11.73,2WD,premium,Dammam,12,4,Gray,individual,0
Honta,suv,4,2005,"98,840 SAR",2007,"75,003 SAR",35007,16.19,4WD,standard,Riyadh,7,2,Silver,individual,0
Geep,sedan,6,1996,"64,326 SAR",2002,"28,874 SAR",125279,8.4,2WD,standard,Dhahran,4,3,Gray,individual,1
Wolksvagon,sedan,4,1998,"68,837 SAR",2003,"37,048 SAR",108946,11.31,4WD,standard,Madinah,6,2,Gray,individual,0
Toyoda,suv,4,2005,"98,840 SAR",2010,"53,195 SAR",31612,8.81,2WD,standard,Jeddah,8,2,Gray,individual,0
Geep,crossover,4,1998,"80,310 SAR",2001,"50,354 SAR",63599,5.52,2WD,standard,Riyadh,3,2,Gray,individual,0
Huendae,sedan,4,2003,"52,779 SAR",2006,"40,233 SAR",36008,25.51,2WD,standard,Dhahran,3,2,White,individual,0
Shevy,sedan,4,1998,"66,925 SAR",2002,"33,760 SAR",50490,12.4,2WD,standard,Dhahran,8,2,White,individual,0
Wolksvagon,suv,6,1999,"122,874 SAR",2004,"62,824 SAR",220432,7.68,2WD,premium,Riyadh,9,3,White,individual,0
Toyoda,suv,6,2001,"153,406 SAR",2007,"79,387 SAR",100351,10.12,4WD,premium,Jeddah,10,2,Black,individual,0
Masda,suv,4,1991,"62,424 SAR",1992,"47,192 SAR",17040,12.51,2WD,standard,Makkah,5,1,Black,individual,0
Fourd,sedan,4,2005,"76,875 SAR",2009,"43,088 SAR",86126,7.04,2WD,standard,Jeddah,3,1,Gray,company,0
JournalMotors,suv,4,2003,"110,836 SAR",2010,"47,263 SAR",144564,8.99,2WD,standard,Madinah,6,4,Gray,individual,1
Huendae,crossover,8,1999,"58,511 SAR",2007,"15,758 SAR",308121,10.14,2WD,standard,Jeddah,5,3,Red,individual,0
Masda,crossover,8,1999,"58,511 SAR",2004,"28,752 SAR",26915,9.95,2WD,standard,Dhahran,5,1,Black,individual,0
Wolksvagon,suv,8,2001,"109,576 SAR",2004,"74,851 SAR",52833,5.8,4WD,standard,Makkah,10,2,White,individual,0
Masda,sedan,8,1996,"64,326 SAR",2001,"33,190 SAR",94056,6.94,2WD,premium,Dhahran,9,2,Silver,individual,1
JournalMotors,sedan,6,2003,"73,890 SAR",2006,"41,696 SAR",31842,6.3,2WD,standard,Dhahran,4,2,Silver,individual,0
Huendae,suv,4,2007,"102,833 SAR",2009,"91,038 SAR",11537,16.13,4WD,standard,Jeddah,3,2,Silver,individual,1
Toyoda,suv,8,1998,"86,046 SAR",2005,"49,476 SAR",135343,6.66,2WD,standard,Madinah,2,3,Red,company,0
Geep,sedan,8,2005,"107,626 SAR",2010,"47,850 SAR",93207,2.49,2WD,premium,Jeddah,13,3,Black,company,0
Geep,sedan,8,1998,"93,695 SAR",2001,"61,684 SAR",68412,7.22,2WD,premium,Dhahran,3,1,White,individual,1
Toyoda,sedan,4,2003,"63,334 SAR",2007,"42,542 SAR",88662,16.68,2WD,standard,Dammam,4,2,White,individual,0
Geep,crossover,4,1999,"81,916 SAR",2005,"36,964 SAR",203769,5.17,2WD,standard,Dhahran,3,2,White,individual,0
Honta,suv,4,1994,"79,493 SAR",1999,"42,969 SAR",53357,16.35,4WD,standard,Jeddah,6,2,Red,individual,0
Fourd,sedan,6,1998,"66,925 SAR",2003,"29,754 SAR",77777,8.35,2WD,standard,Madinah,8,1,Red,individual,0
Shevy,suv,4,2004,"135,663 SAR",2008,"68,435 SAR",38205,4.15,4WD,standard,Madinah,7,2,White,individual,0
JournalMotors,sedan,8,1996,"108,068 SAR",2003,"46,199 SAR",140264,6.76,4WD,premium,Dammam,4,2,Gray,individual,0
JournalMotors,suv,6,2000,"104,443 SAR",2007,"42,416 SAR",261534,3.9,2WD,standard,Madinah,10,2,Gray,individual,0
Shevy,sedan,4,2000,"83,554 SAR",2005,"37,148 SAR",50883,6.21,4WD,standard,Makkah,7,1,Black,individual,0
Toyoda,suv,4,1998,"103,255 SAR",2000,"74,113 SAR",89332,9.99,4WD,standard,Dhahran,7,1,Gray,individual,0
Toyoda,suv,4,1997,"84,359 SAR",2001,"54,375 SAR",156281,13.65,2WD,standard,Riyadh,3,1,Gray,individual,0
Masda,suv,4,2004,"80,752 SAR",2009,"41,886 SAR",88920,10.41,2WD,standard,Makkah,2,4,Black,individual,0
Honta,suv,4,2006,"117,620 SAR",2008,"104,129 SAR",21351,17.84,2WD,premium,Dhahran,2,3,Gray,individual,1
Toyoda,sedan,6,1999,"81,916 SAR",2004,"43,976 SAR",162180,11.13,2WD,premium,Dhahran,5,2,Gray,company,1
Honta,suv,4,2000,"74,602 SAR",2003,"54,284 SAR",29328,12.79,2WD,standard,Riyadh,2,3,Blue,individual,1
Toyoda,crossover,4,1991,"59,927 SAR",1997,"30,934 SAR",267508,11.19,2WD,standard,Dhahran,12,2,Gray,individual,1
Honta,suv,4,1996,"68,921 SAR",2003,"30,936 SAR",263805,13.66,2WD,standard,Riyadh,5,2,Silver,individual,0
JournalMotors,sedan,4,2003,"73,890 SAR",2010,"33,167 SAR",113905,6.15,2WD,standard,Dhahran,4,2,Silver,individual,1
