Manufacturer,Type,Cylinders,Model_Year,Model_Price,Sold_Year,Sale_Price,KM_Driven,KPL,Power,Class,Location,Accident_History,Owner_History,Color,Seller_Type,Service_History
Toyoda,sedan,4,1993,"51,956 SAR",1997,"34,899 SAR",37501,22.09,2WD,standard,Riyadh,6,3,Silver,individual,0
JournalMotors,suv,4,2003,"110,836 SAR",2006,"59,417 SAR",109893,4.88,2WD,standard,Makkah,12,3,Red,individual,0
Toyoda,sedan,8,2007,"68,555 SAR",2014,"37,251 SAR",47184,7.75,2WD,standard,Jeddah,7,3,Black,individual,1
Fourd,suv,4,2008,"146,846 SAR",2010,"91,653 SAR",16031,8.38,4WD,standard,Riyadh,4,3,Black,individual,0
Nesshan,sedan,4,2004,"75,368 SAR",2010,"43,416 SAR",110618,20.22,2WD,premium,Madinah,2,4,White,individual,1
Honta,crossover,4,2004,"77,522 SAR",2011,"40,292 SAR",145359,20.29,4WD,standard,Dammam,5,3,Red,individual,0
Toyoda,sedan,4,2002,"86,930 SAR",2004,"72,977 SAR",36332,11.01,2WD,premium,Riyadh,2,2,Silver,individual,0
Huendae,crossover,4,1999,"58,511 SAR",2004,"28,752 SAR",100663,10.69,2WD,standard,Jeddah,9,2,Gray,individual,0
Toyoda,sedan,4,1991,"49,939 SAR",1996,"31,207 SAR",92238,18.91,2WD,standard,Jeddah,3,4,Red,company,0
Shevy,sedan,4,2005,"76,875 SAR",2010,"37,881 SAR",216824,7.41,2WD,standard,Jeddah,2,1,Blue,individual,1
Shevy,suv,4,1995,"113,517 SAR",2001,"46,102 SAR",237299,2.13,4WD,standard,Makkah,7,2,Black,individual,0
Masda,crossover,4,2003,"63,334 SAR",2008,"29,566 SAR",186776,13.21,2WD,standard,Dammam,4,2,White,individual,0
Fourd,suv,4,2009,"124,819 SAR",2016,"59,140 SAR",315061,4.81,2WD,standard,Riyadh,2,1,White,company,1
Toyoda,crossover,4,1999,"70,214 SAR",2004,"48,496 SAR",47962,16.62,2WD,standard,Riyadh,2,1,Gray,individual,1
Nesshan,sedan,4,2004,"53,834 SAR",2009,"32,332 SAR",59173,21.38,2WD,standard,Dammam,3,1,Blue,individual,0
Toyoda,suv,4,1990,"88,128 SAR",1991,"81,077 SAR",10732,8.58,4WD,standard,Dhahran,2,1,Silver,company,0
Mercetes,suv,6,2004,"158,274 SAR",2005,"113,672 SAR",20822,2.84,2WD,premium,Madinah,7,1,Black,individual,1
Fourd,sedan,4,2002,"72,441 SAR",2007,"32,126 SAR",171688,7.14,2WD,standard,Dammam,4,3,White,individual,1
JournalMotors,suv,4,1998,"100,387 SAR",2005,"40,769 SAR",86475,6.79,2WD,standard,Dhahran,8,4,Gray,individual,0
Honta,suv,4,2006,"100,817 SAR",2011,"57,523 SAR",182305,17.28,4WD,standard,Dammam,2,2,Gray,individual,0
Fourd,suv,8,2001,"178,974 SAR",2003,"130,324 SAR",44997,2.8,4WD,premium,Dhahran,3,1,Gray,individual,1
Toyoda,suv,4,2006,"141,144 SAR",2009,"96,415 SAR",65107,13.03,2WD,premium,Jeddah,8,3,Black,individual,0
Shevy,sedan,4,2006,"131,734 SAR",2013,"48,150 SAR",354322,5.84,4WD,premium,Dammam,6,4,White,individual,0
Toyoda,crossover,8,1996,"92,630 SAR",1999,"59,795 SAR",156428,9.47,2WD,premium,Makkah,4,1,White,company,1
Toyoda,suv,6,2001,"91,313 SAR",2006,"46,687 SAR",225583,5.65,2WD,standard,Dammam,5,2,Silver,individual,0
Masda,sedan,4,2005,"54,911 SAR",2008,"37,672 SAR",67121,17.1,2WD,standard,Madinah,4,2,Black,company,0
Shevy,crossover,6,2003,"88,668 SAR",2007,"44,728 SAR",54880,4.79,2WD,standard,Makkah,9,2,Gray,individual,0
Nesshan,sedan,8,2004,"90,442 SAR",2005,"68,374 SAR",20314,9.95,4WD,premium,Jeddah,5,2,Silver,individual,0
JournalMotors,suv,6,2001,"149,145 SAR",2010,"36,342 SAR",352978,4.54,2WD,premium,Dhahran,12,1,Blue,individual,0
Honta,suv,8,2004,"96,902 SAR",2008,"53,892 SAR",86787,5.87,4WD,standard,Jeddah,5,4,Red,individual,1
Fourd,crossover,4,2001,"85,225 SAR",2004,"53,436 SAR",54205,7.34,2WD,standard,Jeddah,3,3,Silver,individual,0
Shevy,crossover,4,2002,"86,930 SAR",2005,"49,054 SAR",21541,2.85,2WD,standard,Dammam,6,2,Red,individual,0
Shevy,crossover,4,1996,"77,191 SAR",2000,"43,265 SAR",84331,3.97,2WD,standard,Jeddah,2,3,Red,individual,0
Shevy,suv,8,2004,"189,928 SAR",2008,"106,454 SAR",34718,3.76,4WD,premium,Madinah,1,2,White,individual,0
Nesshan,sedan,4,1995,"45,046 SAR",2002,"24,583 SAR",52303,15.61,2WD,standard,Jeddah,8,1,Black,individual,1
Toyoda,sedan,4,1999,"70,214 SAR",2006,"37,970 SAR",126577,15.45,4WD,standard,Dhahran,12,4,White,individual,0
